Value,ValueDescription,Annotation,AnnotationDescription,Category
general research use,This primary category consent code indicates that use is allowed for general research use for any research purpose.; DUO:0000042,consent code primary category,A categorical data item indicating the primary category the consent code belongs to according to Dyke et al. 2016.; DUO:0000002,Consent-DataUse
health or medical or biomedical research,This primary category consent code indicates that use is allowed for health/medical/biomedical purposes; does not include the study of population origins or ancestry.; DUO:0000006,consent code primary category,A categorical data item indicating the primary category the consent code belongs to according to Dyke et al. 2016.; DUO:0000002,Consent-DataUse
disease specific research,This primary category consent code indicates that use is allowed provided it is related to the specified disease.; DUO:0000007,consent code primary category,A categorical data item indicating the primary category the consent code belongs to according to Dyke et al. 2016.; DUO:0000002,Consent-DataUse
general research use and clinical care,"This primary category consent code indicates that use is allowed for health/medical/biomedical purposes and other biological research, including the study of population origins or ancestry.; DUO:0000005",consent code primary category,A categorical data item indicating the primary category the consent code belongs to according to Dyke et al. 2016.; DUO:0000002,Consent-DataUse
population origins or ancestry research,This primary category consent code indicates that use of the data is limited to the study of population origins or ancestry.; DUO:0000011,consent code primary category,A categorical data item indicating the primary category the consent code belongs to according to Dyke et al. 2016.; DUO:0000002,Consent-DataUse
no restriction,This consent code primary category indicates there is no restriction on use.; DUO:0000004,consent code primary category,A categorical data item indicating the primary category the consent code belongs to according to Dyke et al. 2016.; DUO:0000002,Consent-DataUse
research specific restrictions,This secondary category consent code indicates that use is limited to studies of a certain research type.; DUO:0000012,consent code secondary category,A categorical data item indicating the secondary category the consent code belongs to according to Dyke et al. 2016.; DUO:0000003,Consent-DataUse
no general methods research,"This secondary category consent code indicates that use includes methods development research(e.g., development of software or algorithms) only within the bounds of other use limitations.; DUO:0000015",consent code secondary category,A categorical data item indicating the secondary category the consent code belongs to according to Dyke et al. 2016.; DUO:0000003,Consent-DataUse
research use only,"This secondary category consent code indicates that use is limited to research purposes (e.g., does not include its use in clinical care).; DUO:0000014",consent code secondary category,A categorical data item indicating the secondary category the consent code belongs to according to Dyke et al. 2016.; DUO:0000003,Consent-DataUse
genetic studies only,"This secondary category consent code indicates that use is limited to genetic studies only (i.e., no phenotype-only research); DUO:0000016",consent code secondary category,A categorical data item indicating the secondary category the consent code belongs to according to Dyke et al. 2016.; DUO:0000003,Consent-DataUse
publication moratorium,This requirement indicates that requestor agrees not to publish results of studies until a specific date; DUO:0000024,data use requirements,Requirements indicate additional conditions set for use.; DUO:0000017,Consent-DataUse
user specific restriction,This requirement indicates that use is limited to use by approved users.; DUO:0000026,data use requirements,Requirements indicate additional conditions set for use.; DUO:0000017,Consent-DataUse
time limit on use,This requirement indicates that use is approved for a specific number of months.; DUO:0000025,data use requirements,Requirements indicate additional conditions set for use.; DUO:0000017,Consent-DataUse
institution specific restriction,This requirement indicates that use is limited to use within an approved institution.; DUO:0000028,data use requirements,Requirements indicate additional conditions set for use.; DUO:0000017,Consent-DataUse
project specific restriction,This requirement indicates that use is limited to use within an approved project.; DUO:0000027,data use requirements,Requirements indicate additional conditions set for use.; DUO:0000017,Consent-DataUse
return to database or resource,This requirement indicates that the requestor must return derived/enriched data to the database/resource.; DUO:0000029,data use requirements,Requirements indicate additional conditions set for use.; DUO:0000017,Consent-DataUse
publication required,This requirement indicates that requestor agrees to make results of studies using the data available to the larger scientific community.; DUO:0000019,data use requirements,Requirements indicate additional conditions set for use.; DUO:0000017,Consent-DataUse
not for profit use only,"This requirement indicates that use of the data is limited to not-for-profit organizations and not-for-profit use, non-commercial use.; DUO:0000018",data use requirements,Requirements indicate additional conditions set for use.; DUO:0000017,Consent-DataUse
collaboration required,This requirement indicates that the requestor must agree to collaboration with the primary study investigator(s).; DUO:0000020,data use requirements,Requirements indicate additional conditions set for use.; DUO:0000017,Consent-DataUse
geographical restriction,This requirement indicates that use is limited to within a specific geographic region.; DUO:0000022,data use requirements,Requirements indicate additional conditions set for use.; DUO:0000017,Consent-DataUse
ethics approval required,This requirement indicates that the requestor must provide documentation of local IRB/ERB approval.; DUO:0000021,data use requirements,Requirements indicate additional conditions set for use.; DUO:0000017,Consent-DataUse